distance	distance_range(bp)	count.Inner	count.Outer	count.Right	count.Left	sum	log10count.Inner	log10count.Outer	log10count.Right	log10count.Left	log10sum	proportion.Inner	proportion.Outer	proportion.Right	proportion.Left	allpossible_sumcount	prob	log10prob	count_per_chr.chr1	count_per_chr.chr10	count_per_chr.chr11	count_per_chr.chr12	count_per_chr.chr13	count_per_chr.chr14	count_per_chr.chr15	count_per_chr.chr16	count_per_chr.chr17	count_per_chr.chr18	count_per_chr.chr19	count_per_chr.chr2	count_per_chr.chr20	count_per_chr.chr21	count_per_chr.chr22	count_per_chr.chr3	count_per_chr.chr4	count_per_chr.chr5	count_per_chr.chr6	count_per_chr.chr7	count_per_chr.chr8	count_per_chr.chr9	count_per_chr.chrX	count_per_chr.chrY	allpossible_count_per_chr.chr1	allpossible_count_per_chr.chr10	allpossible_count_per_chr.chr11	allpossible_count_per_chr.chr12	allpossible_count_per_chr.chr13	allpossible_count_per_chr.chr14	allpossible_count_per_chr.chr15	allpossible_count_per_chr.chr16	allpossible_count_per_chr.chr17	allpossible_count_per_chr.chr18	allpossible_count_per_chr.chr19	allpossible_count_per_chr.chr2	allpossible_count_per_chr.chr20	allpossible_count_per_chr.chr21	allpossible_count_per_chr.chr22	allpossible_count_per_chr.chr3	allpossible_count_per_chr.chr4	allpossible_count_per_chr.chr5	allpossible_count_per_chr.chr6	allpossible_count_per_chr.chr7	allpossible_count_per_chr.chr8	allpossible_count_per_chr.chr9	allpossible_count_per_chr.chrX	allpossible_count_per_chr.chrY	prob_per_chr.chr1	prob_per_chr.chr10	prob_per_chr.chr11	prob_per_chr.chr12	prob_per_chr.chr13	prob_per_chr.chr14	prob_per_chr.chr15	prob_per_chr.chr16	prob_per_chr.chr17	prob_per_chr.chr18	prob_per_chr.chr19	prob_per_chr.chr2	prob_per_chr.chr20	prob_per_chr.chr21	prob_per_chr.chr22	prob_per_chr.chr3	prob_per_chr.chr4	prob_per_chr.chr5	prob_per_chr.chr6	prob_per_chr.chr7	prob_per_chr.chr8	prob_per_chr.chr9	prob_per_chr.chrX	prob_per_chr.chrY	log10prob_per_chr.chr1	log10prob_per_chr.chr10	log10prob_per_chr.chr11	log10prob_per_chr.chr12	log10prob_per_chr.chr13	log10prob_per_chr.chr14	log10prob_per_chr.chr15	log10prob_per_chr.chr16	log10prob_per_chr.chr17	log10prob_per_chr.chr18	log10prob_per_chr.chr19	log10prob_per_chr.chr2	log10prob_per_chr.chr20	log10prob_per_chr.chr21	log10prob_per_chr.chr22	log10prob_per_chr.chr3	log10prob_per_chr.chr4	log10prob_per_chr.chr5	log10prob_per_chr.chr6	log10prob_per_chr.chr7	log10prob_per_chr.chr8	log10prob_per_chr.chr9	log10prob_per_chr.chrX	log10prob_per_chr.chrY
1.050	10~13	0	1	0	0	1	-100.000	0.000	-100.000	-100.000	0.000	0.000	1.000	0.000	0.000	3.096E+09	1.248E-10	-9.904	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	1.549E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.810	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000
1.150	13~16	2	1	0	0	3	0.301	0.000	-100.000	-100.000	0.477	0.667	0.333	0.000	0.000	3.096E+09	2.973E-10	-9.527	3.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	3.692E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.433	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000
1.250	16~20	0	3	0	0	3	-100.000	0.477	-100.000	-100.000	0.477	0.000	1.000	0.000	0.000	3.096E+09	2.362E-10	-9.627	2.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	1.955E-09	1.798E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.709	-8.745	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000
1.350	20~25	5	3	0	0	8	0.699	0.477	-100.000	-100.000	0.903	0.625	0.375	0.000	0.000	3.096E+09	5.002E-10	-9.301	4.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	1.000E+00	1.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	3.106E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	9.775E-10	0.000E+00	0.000E+00	1.131E-09	1.216E-09	0.000E+00	1.371E-09	0.000E+00	0.000E+00	-8.508	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-9.010	-100.000	-100.000	-8.946	-8.915	-100.000	-8.863	-100.000	-100.000
1.450	25~32	4	2	0	1	7	0.602	0.301	-100.000	0.000	0.845	0.571	0.286	0.000	0.143	3.096E+09	3.477E-10	-9.459	5.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	3.084E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	8.043E-10	8.499E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.511	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-9.095	-9.071	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000
1.550	32~40	5	2	0	0	7	0.699	0.301	-100.000	-100.000	0.845	0.714	0.286	0.000	0.000	3.096E+09	2.762E-10	-9.559	4.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	1.960E-09	0.000E+00	0.000E+00	9.124E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.938E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	7.674E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.708	-100.000	-100.000	-9.040	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-8.713	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-9.115	-100.000	-100.000	-100.000	-100.000
1.650	40~50	3	3	0	0	6	0.477	0.477	-100.000	-100.000	0.778	0.500	0.500	0.000	0.000	3.096E+09	1.880E-10	-9.726	3.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	1.168E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.074E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	4.899E-10	5.075E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.933	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-8.969	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-9.310	-9.295	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000
1.750	50~63	3	5	0	0	8	0.477	0.699	-100.000	-100.000	0.903	0.375	0.625	0.000	0.000	3.096E+09	1.991E-10	-9.701	5.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	1.546E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	7.516E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	4.503E-10	4.842E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	-8.811	-100.000	-100.000	-100.000	-100.000	-100.000	-9.124	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-9.346	-9.315	-100.000	-100.000	-100.000	-100.000
1.850	63~79	4	2	0	0	6	0.602	0.301	-100.000	-100.000	0.778	0.667	0.333	0.000	0.000	3.096E+09	1.186E-10	-9.926	2.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	2.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	4.912E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	7.840E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	7.154E-10	0.000E+00	0.000E+00	0.000E+00	3.942E-10	0.000E+00	-9.309	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-9.106	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-100.000	-9.145	-100.000	-100.000	-100.000	-9.404	-100.000
1.950	79~100	14	5	0	0	19	1.146	0.699	-100.000	-100.000	1.279	0.737	0.263	0.000	0.000	3.096E+09	2.984E-10	-9.525	7.000E+00	0.000E+00	0.000E+00	2.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	1.000E+00	0.000E+00	2.000E+00	1.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	1.000E+00	2.000E+00	0.000E+00	0.000E+00	0.000E+00	1.000E+00	0.000E+00	2.493E+08	1.355E+08	1.350E+08	1.339E+08	1.152E+08	1.073E+08	1.025E+08	9.035E+07	8.120E+07	7.808E+07	5.913E+07	2.432E+08	6.303E+07	4.813E+07	5.130E+07	1.980E+08	1.912E+08	1.809E+08	1.711E+08	1.591E+08	1.464E+08	1.412E+08	1.553E+08	5.937E+07	1.365E-09	0.000E+00	0.000E+00	7.265E-10	0.000E+00	0.000E+00	0.000E+00	5.381E-10	0.000E+00	6.227E-10	0.000E+00	3.998E-10	7.715E-10	0.000E+00	0.000E+00	0.000E+00	2.544E-10	2.688E-10	5.683E-10	0.000E+00	0.000E+00	0.000E+00	3.131E-10	0.000E+00	-8.865	-100.000	-100.000	-9.139	-100.000	-100.000	-100.000	-9.269	-100.000	-9.206	-100.000	-9.398	-9.113	-100.000	-100.000	-100.000	-9.595	-9.571	-9.245	-100.000	-100.000	-100.000	-9.504	-100.000
